District,District_Chinese,Population at 2021,Median monthly household income (HK$)
Kwun Tong,觀塘,667400,22500
Sham Shui Po,深水埗,424000,24300
Kwai Tsing,葵青,487200,24700
Tuen Mun,屯門,498400,25000
Wong Tai Sin,黃大仙,403000,25500
Tai Po,大埔,313000,25800
"Yuen Long
",元朗,662000,27000
Islands,離島,183000,28400
Sha Tin,沙田,688200,29700
Yau Tsim Mong,油尖旺,306800,30000
Kowloon City,九龍城,404200,30000
North,北區,305100,30400
Tsuen Wan,荃灣,316400,32600
Southern,南區,256100,32800
Eastern,東區,525100,34300
Sai Kung,西貢,486200,36500
Central and Western,中西區,233400,41400
Wan Chai,灣仔,165100,44100
