,o2o_shop_code,o2o_shop_name,open_date,open_time,close_time,close_date,business_days,district,address_en,address_chi,allow_chill,allow_fresh,allow_frozen,not_allow_return
0,ZTC,Tsz Wan Shan - Easy Take Pickup Point,2022-10-01T00:00:00+08:00,2022-10-08 11:30:00,2022-10-08 19:00:00,,1/2/3/4/5/6,KLN,"Shop 6A ,UG/F, Wah Lai House Shopping mall, 20 Yuk Wah Crescent, Tsz Wan Shan, Kowloon",九龍慈雲山毓華里20號華麗樓高層UG/F 商場6A號舖,True,True,True,False
1,HAN,Tuen Mun - H.A.N.D.S Shop,2021-11-01T00:00:00+08:00,2022-10-08 08:00:00,2022-10-08 22:00:00,,1/2/3/4/5/6/7,NT,"Shop A301, 3/F, Zone A, H.A.N.D.S, On Ting Estate, 2A Tuen Mun Heung Sze Wui Road, Tuen Mun, NT",屯門屯門鄉事會路2A 愛定商場3樓A-301號鋪,True,False,True,False
2,TAI,Tai Po - Tai Yuen Shopping Centre Shop,2022-05-01T00:00:00+08:00,2022-10-08 08:00:00,2022-10-08 22:00:00,,1/2/3/4/5/6/7,NT,"Shop Nos. 5, 6A, 6B, 7, 8 and 9, First Floor, Tai Yuen Shopping Centre, Tai Yuen Estate, No.10 Ting Kok Road, Tai Po, New Territories","新界 大埔汀角路10號大元邨大元商場1樓5, 6A, 6B, 7, 8, 9號舖",True,False,True,False
3,SAV,Tseung Kwan O - Savannah Place,2021-10-01T00:00:00+08:00,2022-10-08 08:00:00,2022-10-08 22:00:00,,1/2/3/4/5/6/7,KLN,"Shop G03 & 03A, Savannah Place, 3 Chi Shin Street, TKO",將軍澳至善街3號 Savannah Place地下G03&G03A 號鋪,True,False,True,False
4,ROC,Sai Wan - The Rockpool Shop,2021-12-20T00:00:00+08:00,2022-10-08 08:00:00,2022-10-08 22:00:00,,1/2/3/4/5/6/7,HK,"Shop G09-G10, G/F, The Rockpool, No. 423-425 Queen's Road West, Hong Kong","Shop G09&G10, 石塘坊, 石塘咀402-404德輔道西",True,False,True,False
5,YIU,Ma On Shan - Yiu On Shopping Centre Shop,2022-05-01T00:00:00+08:00,2022-10-08 08:00:00,2022-10-08 22:00:00,,1/2/3/4/5/6/7,NT,"Shop No. L201, Level 2, Yiu On Shopping Centre, Yiu On Estate, No.2 Hang Hong Street, Shatin, New Territories",新界 沙田恆康街2號耀安邨耀安商場2樓L201號舖,True,False,True,False
6,ZLC,Causeway Bay - Percival Street iEAT Pickup Point,2021-07-01T00:00:00+08:00,2022-10-08 10:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6/7,HK,"Shop D1, G/F, Po Wing Building, 108-120 Percival Street, Causeway Bay, Hong Kong",香港 銅鑼灣波斯富街108-120號寶榮大廈地下D1舖,True,False,True,True
7,ZLD,Tuen Mun - Chelsea Heights Shopping Arcade iEAT Pickup Point,2021-07-01T00:00:00+08:00,2022-10-08 10:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6/7,NT,"Shop 106B, 1/F, Chelsea Heights Shopping Arcade, 1 Shek Pai Tau Road, Tuen Mun, New Territories",新界 屯門石排頭徑1號卓爾廣場1樓106B號舖,True,False,True,True
8,ZQD,Tin Shui Wai -  Hung's Cartnoodles Pickup Point,2022-03-01T00:00:00+08:00,2022-10-08 10:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 8, G/F, Ping Yan Shopping Centre, Ping Yan Court, 65 Ping Ha Road, Tin Shui Wai",天水圍屏廈路 65 號屏欣苑屏欣商場地下 8 號舖,True,False,True,True
9,ZBB,Tai Wo - Tai Wo Plaza Baleno Pickup Point (No frozen and chilled items allowed),2020-02-21T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 19:30:00,,1/2/3/4/5/6/7,NT,"Shop 230-231, 2/F, Tai Wo Plaza, 12 Tai Po Tai Wo Road, Tai Po, N.T.",新界大埔太和路12號太和廣場2樓230-231號舖,False,False,False,True
10,ZDI,Central - On Lok Yuen GIORDANO Pickup Point (No frozen and chilled items allowed),2020-03-02T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 19:30:00,,1/2/3/4/5/6/7,HK,"G/F & M/F, On Lok Yuen Bldg., 27 Des Voeux Road, Central, Hong Kong",香港 中環德輔道中 27 號安樂園大廈地舖,False,False,False,True
11,SHS,South Horizons - Marina Square (West) Shop,,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"G33C&D, Marina Square (West), 12A South Horizon Drive (pick-up)",海怡西商場地下33C及D號舖 (自取),True,False,True,False
12,OWS,Tuen Mun - Ocean Walk Shop,2019-05-03T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No 6, Ocean Walk (pick-up)",屯門海趣坊6號舖 (自取),True,False,True,False
13,CYL,Wong Tai Sin - Cheung Ying Alley Shop,2020-01-30T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop 2B, Cheung Ying Alley, Third Ground Floor of Tropicana Gardens, 110 Lung Cheung Road, Wong Tai Sin",黃大仙龍翔道110號翔盈里2B號舖,True,False,True,False
14,TPS,Tai Po - Tai Po Plaza Shop,2018-07-13T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 4001 & 4002, Level 1, 1 On Tai Road, Tai Po Plaza (pick-up)",大埔廣場地下4001-4002號舖 (自取),True,False,True,False
15,SRS,Kennedy Town - Smithfield Road Shop,2018-05-25T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop 3, LG/F, Smithfield Walk, 45-51 Smithfield Road, Kennedy Town (pick-up)",士美菲路45-51號Smithfield Walk商場低層地下 3號舖 (自取),True,False,True,False
16,SSC,Ma On Shan - Sunshine City Plaza Shop,2018-06-13T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No. 2E-5, L2, Sunshine City Plaza, Ma On Shan (pick-up)",新港城中心2樓2E-5舖(近馬鞍山站B出口) (自取),True,False,True,False
17,SHE,Sheung Shui - Sheung Shui Centre Shop,2019-08-09T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 2029, L2, Sheung Shui Centre, 3 Chi Cheong Road, Sheung Shui (pick-up)",上水智昌路3號上水中心2樓2029號舖 (自取),True,False,True,False
18,CIT,Tsuen Wan - Citywalk Shop,2020-11-09T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"G19B, Citywalk 1, 1 Yeung Uk Road, Tsuen Wan, New Territories (opposite to the wet market)",荃灣楊屋路道1號荃新天地I期地下G19B,True,False,True,False
19,PMS,Heng Fa Chuen - Paradise Mall Shop,,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Shop No. 216, 2/F, 100 Shing Tai Road, Paradise Mall, Heng Fa Chuen (pick-up)",杏花新城2/F 216號舖 (自取),True,False,True,False
20,KYR,Yuen Long - Kau Yuk Road Shop,2019-04-04T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop D, G/F, Chit Wing House, 2-6 Kau Yuk Road, Yuen Long",元朗教育路2-6號捷榮樓地下D舖,True,False,True,False
